player_id,player_first_name,player_last_name,goal_keeper,playing_time,normalized_player_minutes,substitutions_in,substitutions_out,cards_yellow,cards_yellow_red,cards_red,sendings_off,offsides,fouls_against_opponent,fouls_other,fouls_hand_ball,fouls_sum,other_player_actions,goals,shots_at_goal_held,shots_at_goal_wide,shots_at_goal_crossbar,shots_at_goal_post,shots_at_goal_blocked,shots_at_goal_other,shots_at_goal_failed,shots_at_goal_right_leg,shots_at_goal_left_leg,shots_at_goal_head,shots_at_goal_body,shots_at_goal_no_head,shots_at_goal_sum,shots_at_goal_inside_box,shots_at_goal_outside_box,assists,second_assists,first_and_second_assists,passes_from_play_successful,passes_from_play_not_successful,passes_from_play_sum,passes_from_standards_successful,passes_from_standards_not_successful,passes_from_standards_sum,passes_successful_sum,passes_not_successful_sum,passes_sum,crosses_from_play_successful,crosses_from_play_not_successful,crosses_from_play_sum,crosses_from_standards_successful,crosses_from_standards_not_successful,crosses_from_standards_sum,crosses_successful_sum,crosses_not_successful_sum,crosses_sum,passes_and_crosses_from_play_successful,passes_and_crosses_from_play_not_successful,passes_and_crosses_from_play_sum,passes_and_crosses_from_standards_successful,passes_and_crosses_from_standards_not_successful,passes_and_crosses_from_standards_sum,passes_and_crosses_successful_sum,passes_and_crosses_not_successful_sum,passes_and_crosses_sum,own_goals,own_goals_prevented,defensive_clearances,abandonments_of_ball,other_ball_actions,throw_ins,penalties_successful,penalties_not_successful,penalties_sum,corner_kicks_left,corner_kicks_right,corner_kicks_sum,free_kicks_direct,free_kicks_indirect,free_kicks_sum,kickoffs_after_goal,kickoffs,ball_control_phases,ball_actions,tackling_games_air_won,tackling_games_air_lost,tackling_games_air_sum,distance_covered,maximum_speed,participations_goal,participations_goal_indirect,participations_goal_direct,assists_shot_at_goal,participations_shot_at_goal,participations_shot_at_goal_indirect,participations_shot_at_goal_direct,sitters,participations_sitter,shots_on_target,shots_on_goal_suffered,fouls_suffered,passes_from_open_play_short,passes_from_open_play_short_successful_ratio,passes_from_open_play_medium,passes_from_open_play_medium_successful_ratio,passes_from_open_play_long,passes_from_open_play_long_successful_ratio,penalties_saved,penalties_caused,xG,xG_efficiency,goal_opportunities,chances,nutmegs,spectacular_plays,participations_goal_opportunities,shots_conversion_rate,passes_from_play_conversion_rate,passes_from_standards_conversion_rate,passes_conversion_rate,crosses_from_standards_conversion_rate,crosses_conversion_rate,crosses_from_play_conversion_rate,penalty_conversion_rate,goals_plus_assists,goals_plus_first_and_second_assists,team_id,team_three_letter_code,team_short_name,competition_id,season_id,season,matches_played,matches_played_tracking,advanced_stats_advanced_statsgoalkeeper,advanced_stats_advanced_statspasses_from_open_play_successful,advanced_stats_advanced_statsx_pass,advanced_stats_advanced_statspassing_performance,advanced_stats_advanced_statspassing_performance_rank,advanced_stats_advanced_statsdifficult_passes,advanced_stats_advanced_statsdifficult_passes_successful_ratio,advanced_stats_advanced_statsdifficult_passes_share,advanced_stats_advanced_statsplayer_pressure_count,advanced_stats_advanced_statsplayer_pressure_count_rank,advanced_stats_advanced_statsaverage_pressure,advanced_stats_advanced_statsescape_rate,advanced_stats_advanced_statsescape_rate_rank,advanced_stats_advanced_statspressure_resistance_ratio,advanced_stats_advanced_statspressure_resistance_efficiency,advanced_stats_advanced_statspasses_under_pressure_successful_ratio,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasonrank,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasonabsolute,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasonx_goals,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasongoals,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesrank,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesabsolute,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesx_goals,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesgoals,player_alias
MLS-OBJ-00000X,Josef,Martínez,FALSE,34:41:01,1874,9,11,0,0,0,0,19,4,0,3,7,3,14,22,10,1,0,6,5,44,29,15,14,0,44,58,54,4,2,0,2,211,39,250,52,0,52,263,39,302,0,0,0,0,0,0,0,0,0,211,39,250,52,0,53,263,39,303,0,0,0,0,74,1,1,0,1,0,0,0,2,0,2,29,50,435,436,21,28,49,173480.74,33.24,18,2,16,20,86,14,72,9,10,37,0,12,110,88.18,134,82.84,6,50,0,0,14.6427,-0.6427,50,41,0,3,69,0.24,0.84,1,0.87,NA,NA,NA,1,16,16,MLS-CLU-00000Q,SJ,San Jose,MLS-COM-000001,MLS-SEA-0001K9,2025,30,30,FALSE,209,200.68,8.32,237,67,0.7,0.27,154,276,0.48,0.49,586,0.04,2.98,0.86,484,-0.64,14.64,14,399,-0.29,2.29,2,NA
MLS-OBJ-0000CP,Cristian,Arango,FALSE,46:35:55,2562,0,12,6,0,0,0,13,44,3,4,51,4,13,31,50,0,0,28,4,113,92,12,22,0,104,126,77,49,3,4,7,507,169,676,37,1,38,544,170,714,1,21,22,0,0,0,1,21,22,508,190,698,37,1,43,545,191,741,0,0,11,0,290,5,3,0,3,1,0,1,31,0,31,10,14,1168,1177,40,38,78,258851.38,33.13,22,6,16,32,181,33,148,12,14,45,0,54,262,80.92,365,72.6,49,61.22,0,0,15.9422,-2.9422,103,91,7,5,143,0.1,0.75,0.97,0.76,NA,0.05,0.05,1,16,20,MLS-CLU-00000Q,SJ,San Jose,MLS-COM-000001,MLS-SEA-0001K9,2025,30,30,FALSE,504,496.96,7.04,256,279,0.52,0.42,519,34,0.57,0.45,662,-0.05,-13.32,0.76,672,-2.94,15.94,13,574,-1.86,2.86,1,NA
MLS-OBJ-0003EO,Prince,Owusu,FALSE,51:14:14,2825,2,11,4,0,0,0,25,63,2,3,68,1,13,24,22,2,3,14,10,75,19,47,21,1,67,88,77,11,3,2,5,384,183,567,23,0,23,407,183,590,1,6,7,0,0,0,1,6,7,385,189,574,23,0,28,408,189,602,0,0,14,1,353,5,3,1,4,0,0,0,2,0,2,16,21,1058,1066,65,87,152,297891.42,33.89,19,3,16,36,141,30,111,11,15,38,0,61,279,72.76,274,63.5,14,50,0,0,18.1587,-5.1587,79,68,4,5,123,0.15,0.68,1,0.69,NA,0.14,0.14,0.75,16,18,MLS-CLU-000006,MTL,Montréal,MLS-COM-000001,MLS-SEA-0001K9,2025,34,34,FALSE,384,402.66,-18.66,830,277,0.51,0.49,632,10,0.76,0.45,662,-0.02,-5.45,0.65,690,-5.16,18.16,13,579,-3.98,4.98,1,NA
MLS-OBJ-000397,Rafael,Navarro,FALSE,48:48:51,2663,1,4,2,0,0,0,22,45,1,2,48,1,12,23,26,0,0,27,5,81,55,17,21,0,72,93,76,17,4,1,5,417,179,596,4,0,4,421,179,600,3,7,10,0,0,0,3,7,10,420,186,606,4,0,4,424,186,610,1,0,12,0,337,0,2,2,4,1,0,1,1,0,1,2,2,1053,1060,47,79,126,302848.36,34.35,22,7,15,35,143,25,118,8,14,37,0,67,263,80.99,302,62.91,31,45.16,0,0,17.9587,-5.9587,83,75,8,2,123,0.13,0.7,1,0.7,NA,0.3,0.3,0.5,16,17,MLS-CLU-00000J,COL,Colorado,MLS-COM-000001,MLS-SEA-0001K9,2025,31,31,FALSE,414,419.05,-5.05,727,284,0.54,0.48,556,23,0.71,0.44,671,-0.06,-14.51,0.66,694,-6.2,18.2,12,562,-1.2,1.2,0,NA
MLS-OBJ-000817,Marco,Pašalić,FALSE,45:57:18,2593,1,25,3,0,0,0,3,14,0,6,20,0,12,28,21,1,3,36,1,90,8,93,1,0,101,102,48,54,5,0,5,697,169,866,16,2,18,713,171,884,4,9,13,4,15,19,8,24,32,701,178,879,20,17,53,721,195,932,0,0,11,0,232,16,0,0,0,1,33,34,3,0,3,0,0,1277,1302,1,19,20,305430.16,32.4,20,4,16,44,160,21,139,3,8,41,0,19,319,88.4,469,77.83,78,64.1,0,1,8.7134,3.2866,90,87,7,1,142,0.12,0.8,0.89,0.81,0.21,0.25,0.31,NA,17,17,MLS-CLU-00000O,ORL,Orlando,MLS-COM-000001,MLS-SEA-0001K9,2025,33,33,FALSE,686,667.24,18.76,103,297,0.6,0.35,536,30,0.52,0.57,372,0.18,46.1,0.83,9,3.44,8.56,12,471,-0.47,1.47,1,NA
MLS-OBJ-0000MF,Albert,Rusnák,FALSE,39:27:20,2150,6,9,3,0,1,0,3,12,0,0,12,0,11,15,13,0,0,20,1,49,44,14,2,0,58,60,40,20,8,2,10,891,116,1007,99,22,121,990,138,1128,10,17,27,35,73,108,45,90,135,901,133,1034,134,95,233,1035,228,1267,0,0,3,0,88,4,3,0,3,58,65,123,79,0,79,8,30,1418,1421,8,5,13,256847.77,31.44,21,2,19,79,155,23,132,7,12,27,0,8,340,95,596,88.09,71,60.56,0,0,10.377,0.623,55,48,1,0,135,0.18,0.88,0.82,0.88,0.32,0.33,0.37,1,19,21,MLS-CLU-00000S,SEA,Seattle,MLS-COM-000001,MLS-SEA-0001K9,2025,29,29,FALSE,886,847.61,38.39,31,225,0.63,0.22,323,102,0.28,0.68,103,0.35,56.73,0.88,104,0.62,10.38,11,95,0.42,1.58,2,NA
MLS-OBJ-00053S,Emil,Forsberg,FALSE,52:04:31,2875,0,14,3,0,0,0,14,26,0,1,27,0,11,13,20,0,0,18,3,54,50,11,4,0,61,65,36,29,8,3,11,746,131,877,55,36,91,801,167,968,2,9,11,16,54,70,18,63,81,748,140,888,71,90,162,819,230,1050,0,0,3,0,197,1,2,0,2,44,10,54,88,0,88,9,31,1315,1321,8,22,30,338209.09,31.89,22,4,18,55,142,31,111,10,17,24,0,36,317,87.7,526,84.03,34,76.47,0,0,9.928,1.072,52,42,0,3,113,0.17,0.85,0.6,0.83,0.23,0.22,0.18,1,19,22,MLS-CLU-00000B,RBNY,New York,MLS-COM-000001,MLS-SEA-0001K9,2025,33,33,FALSE,747,729.16,17.84,111,230,0.54,0.26,382,67,0.36,0.54,462,0.11,20.45,0.82,67,1.07,9.93,11,55,0.74,1.26,2,NA
MLS-OBJ-00053V,Hannes,Wolf,FALSE,47:36:29,2644,1,16,2,0,0,0,7,30,1,4,35,1,11,8,11,0,0,30,1,50,29,28,4,0,57,61,47,14,5,2,7,829,210,1039,8,1,9,837,211,1048,9,14,23,2,10,12,11,24,35,838,224,1062,10,11,54,848,235,1116,0,0,7,0,288,33,0,0,0,0,14,14,8,1,9,0,0,1472,1483,7,14,21,320400.33,32.91,18,2,16,37,111,18,93,4,8,20,0,26,495,87.47,512,75,32,37.5,0,0,8.0768,2.9232,47,43,10,3,90,0.18,0.8,0.89,0.8,0.17,0.31,0.39,NA,16,18,MLS-CLU-000004,NYC,New York City,MLS-COM-000001,MLS-SEA-0001K9,2025,33,33,FALSE,824,806.01,17.99,109,351,0.54,0.34,650,8,0.56,0.54,462,0.1,31.53,0.8,13,2.92,8.08,11,130,0.07,1.93,2,NA
MLS-OBJ-0007TI,Idan,Toklomati,FALSE,33:33:47,1807,11,12,4,0,0,0,6,28,0,4,32,0,11,11,12,0,1,8,1,33,18,8,18,0,26,44,41,3,3,1,4,257,61,318,30,0,30,287,61,348,0,0,0,0,0,0,0,0,0,257,61,318,30,0,31,287,61,349,0,0,8,0,199,1,1,0,1,0,0,0,1,0,1,20,29,600,604,50,63,113,215010.13,35.29,15,1,14,22,69,8,61,9,11,22,0,23,160,84.38,155,77.42,3,66.67,0,1,10.6062,0.3938,40,31,2,3,64,0.25,0.81,1,0.82,NA,NA,NA,1,14,15,MLS-CLU-00000I,CLT,Charlotte,MLS-COM-000001,MLS-SEA-0001K9,2025,30,30,FALSE,254,252.36,1.64,409,98,0.63,0.31,318,108,0.72,0.5,555,0.1,14.03,0.79,136,0.39,10.61,11,38,0.88,2.12,3,NA
MLS-OBJ-0007XP,Tadeo,Allende,FALSE,38:36:56,2167,5,19,1,0,0,0,12,14,0,2,16,0,11,17,9,1,0,11,2,40,29,15,7,0,44,51,41,10,1,0,1,454,116,570,13,0,13,467,116,583,6,10,16,1,0,1,7,10,17,460,126,586,14,0,21,474,126,607,0,0,6,0,218,7,0,0,0,1,0,1,2,0,2,10,12,882,884,46,34,80,243577.47,34.78,13,2,11,20,77,10,67,8,11,28,0,14,254,85.83,306,74.51,10,80,0,0,10.4196,0.5804,40,32,2,7,62,0.22,0.8,1,0.8,1,0.41,0.38,NA,12,12,MLS-CLU-000008,MIA,Miami,MLS-COM-000001,MLS-SEA-0001K9,2025,31,31,FALSE,453,450.97,2.03,391,183,0.55,0.32,337,93,0.49,0.46,643,-0.06,-9.09,0.73,110,0.58,10.42,11,125,0.1,2.9,3,NA
